w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,Z,Y
1.0,0.4173793769630166,0.0,-0.9789703524248476,0.0,1.0,-0.8984594181216525,0.0,0.0,-1.875790362287234,1,-4.9000153853705575
1.0,0.05217157605270633,0.0,0.19556876105065266,0.0,0.0,-0.500656791598064,0.0,1.0,1.2872145326871582,1,-4.353993521948201
1.0,0.4604634150757,1.0,-0.5639185442075709,1.0,1.0,-0.536813210964768,0.0,0.0,0.5345531278038366,1,-4.810823323163711
0.0,1.234149254398584,1.0,1.399856801969747,1.0,1.0,-0.32590437706859127,1.0,1.0,-0.5368584149036141,0,-4.984452116810256
1.0,0.2971403725877014,0.0,-0.6119350280530029,0.0,1.0,-0.5934974975766569,0.0,0.0,0.12168659102015504,1,-4.173375439694723
0.0,0.802163260642719,0.0,0.8144144384328907,1.0,1.0,-0.31160515801795674,0.0,1.0,-1.16226283280662,1,-5.371030030219913
1.0,0.7912407100232797,0.0,-0.154308734306127,1.0,1.0,-0.0397499427136155,0.0,1.0,-0.7225954770011249,0,-3.987702779447273
0.0,0.4838488734565548,1.0,-0.4910164619747776,0.0,1.0,0.15794501102958572,1.0,0.0,1.3854669808742015,0,-3.688138014265512
0.0,-0.23726138898977853,0.0,0.20933296016857866,0.0,1.0,0.2108702867347739,0.0,1.0,-0.5237098816623321,0,-4.280951366476064
0.0,-0.08967357351374365,1.0,-0.22051963111606532,0.0,0.0,-0.551420491598341,0.0,1.0,-1.6968725209949054,1,-5.323317282199005
0.0,-1.5983310825504653,1.0,0.21781867346248981,1.0,0.0,0.16825024947392894,0.0,1.0,0.9176252058520807,1,-4.830104479377597
0.0,-0.563068439660282,0.0,1.2144441183579846,1.0,0.0,0.6399639391527359,0.0,1.0,0.6881019216131791,0,-3.946904452777495
0.0,0.5184253635910827,1.0,1.4306306120886112,1.0,1.0,-0.19611228435006664,1.0,1.0,0.004172053604839304,0,-5.035024105101043
0.0,-1.1525899013688217,0.0,0.030405718813399752,0.0,0.0,-2.3016329171878085,0.0,0.0,-1.0608852922968042,1,-4.37281774582263
1.0,0.48218839629504306,0.0,0.8644604919326174,1.0,1.0,-0.06600151611648342,0.0,1.0,0.3598198908946221,0,-3.350910397439293
0.0,0.9022405192116686,1.0,-0.37114405943442647,1.0,1.0,-0.7159152742321999,0.0,0.0,0.833813063607111,1,-5.016958466690379
0.0,-1.2203366987739022,0.0,0.5071647043806142,1.0,0.0,-1.0115212294710134,0.0,1.0,-0.5299856105280196,0,-3.416618948618515
1.0,-1.1023314699998823,1.0,-1.701769536233018,1.0,0.0,0.11173678187083638,1.0,0.0,1.4686142117077428,0,-2.4033454536773124
0.0,-0.6794984078988819,1.0,1.8716606365679265,0.0,1.0,0.38425951459730157,0.0,1.0,-0.009972860183971888,0,-4.566388619066562
1.0,0.5276742775114062,0.0,1.3068591079177077,0.0,1.0,-0.42143577987822006,0.0,1.0,-0.7277296682992139,0,-4.4724217701279
1.0,-0.12685878214541893,0.0,-0.45702566033769504,1.0,1.0,2.3830291913888133,1.0,0.0,-0.8711119178653822,1,-3.4527744121188824
0.0,0.5654865746349662,1.0,-1.2484036086730108,1.0,1.0,-0.3214723054775583,1.0,0.0,-0.5322408691027857,0,-3.9182855936254137
0.0,-1.692826613753515,0.0,0.3732878756339875,0.0,0.0,-1.0236133004873698,0.0,1.0,-0.21694235250181154,0,-3.491799500886775
1.0,0.029632382743333043,0.0,0.544707916126042,1.0,1.0,-1.4804483731029427,1.0,1.0,-0.986592129522533,1,-3.5573251696204373
0.0,0.28308915903469867,1.0,-0.40438804994184613,0.0,0.0,-0.19267120891346795,0.0,0.0,0.3486482265348991,0,-5.469046662126557
0.0,0.5766326003395602,1.0,-0.34830256213584976,0.0,1.0,-0.07980419032441943,1.0,0.0,-0.35191608687072345,0,-4.052513126611268
0.0,-0.6071207445122807,0.0,1.0513955029734965,1.0,0.0,-1.2004396513642455,1.0,1.0,-1.5150590475366317,0,-3.9090690942642876
